end_year,intensity,sector,topic,insight
2035,16,Energy,oil,"Even as investment lags, Canadian oil production expected to rise: CAPP"
2038,9,Aerospace & defence,airplane,"How ACARS Will Evolve, Not Disappear, With Transition to IPS"
2035,60,null,revenue,New mobility tech changes the route to profitable growth
2048,12,Construction,city,"Rail access improves liveability, but all regional centres are not equal"
2019,20,null,null,"No title could be extracted, please add manually"
2018,16,Energy,oil,US equities started week on front foot & continued to rise until Thursday when investors paused to wait nervously how G7 trade disputes would unfold
2021,8,Government,military,Nuclear Arms Control Shaken By New Instability
2022,60,Media & entertainment,gaming,Microsoft Goes All-In With Gaming
2022,16,null,millennial,Building a NextGen firm
2022,12,null,null,Contract Furniture and Furnishing Market in Europe 2018-2022
2020,60,Information Technology,virtual reality,"People Are Paying Insane Amounts of Real Money for ""Virtual Real Estate"""
2028,12,null,null,Will Social Security be There for You?
2025,80,Information Technology,connected device,Why the future of cellular for IoT relies on tried and true LTE connectivity?
2025,48,Food & agriculture,food,"Food and Beverage Flavors Market - Global Industry Analysis, Size, Share, Growth, Trends and Forecast 2018 - 2025"
2025,48,Food & agriculture,food,"Global Bread and Baked Food Market 2018 Industry Key Players, Tr - Tucson News Now"
2023,12,Energy,solar power,U.S. solar market grows 13% year-over-year despite tariffs
2023,12,null,null,Europe 'will fall behind' US and Asia on 5G
2035,16,Energy,oil,"Even as investment lags, Canadian oil production expected to rise: CAPP"
2030,12,Healthcare,death,IDF Europe performs diabetes research with IBM data scientists
2035,9,Manufacturing,car,New mobility tech changes the route to profitable growth
2018,60,Financial services,bond,"Wall Street trades with caution, ahead of US-North Korea summit"
2019,16,null,population,"No title could be extracted, please add manually"
2018,12,Financial services,security,"No title could be extracted, please add manually"
2022,60,null,null,REGIONAL FOCUS - Middle East [ES18D2]
2021,12,Information Technology,connected device,Bristol start-up takes quantum leap in innovation
2022,24,Transport,revenue,"Kids Bicycle Market are projected to rake in approximately US$ 18,000 Mn revenues by 2022."
2022,32,null,null,"Collagen Market 2018 Global Share, Trend, Segmentation and Forecast to 2021"
2020,16,Energy,LED,Putting animals in their best light: Some shades of LED lamps threaten wildlife
2020,16,Energy,solar power,"ETFE-PV-Based Cells Provide a Lightweight, Flexible, Efficient and Possibly Disruptive Solar-Cell Alternative"
2027,16,Financial services,gdp,SAP HANA Goes Blockchain - Bringing Together Business and Blockchain Data
2029,9,Manufacturing,technology,"Career Industry Trends - June 12, 2018"
2025,16,Energy,battery,Batteries hasten winds of change for electricity stocks: Barron's
2023,16,Construction,building,"Building Integrated Photovoltaics (BIPV) Market to Show +17% During Period CAGR 2018-2023, Increasing Demand to Drive Growth of Market"
2024,60,null,null,"Intelligent Virtual Assistant Market Size Is Poised To Reach $12.28 Billion By 2024: Grand View Research, Inc."
2024,48,null,null,"GlaxoSmithKline to pass $10B in 2024 vaccine sales, with Merck, Sanofi and Pfizer rounding out the top 4: report"
2035,16,Manufacturing,automation,Smart cities on the rise as planners prepare for rapid urbanisation
2035,12,Manufacturing,car,New mobility tech changes the route to profitable growth
2050,16,null,care,AMA adopts policy to make long-term care more affordable
2018,16,null,null,McDonald's New Self-Ordering Kiosks Ring the Death Knell for Many Fast-Food Jobs
2019,8,Education,education,"WENR, June 2018: Asia-Pacific"
2018,96,null,spending,Digital Transformation to Cross $1 Trillion Mark
2021,12,null,null,"Supercapacitor Market a CAGR of 9.48% Through 2017-2021: Vendor Landscape-Industry Report, Share and Segmentation"
2021,16,Energy,solar power,"Residential Solar Capacity Additions to Remain Flat in 2018, and That's Good News"
2022,48,null,null,"Connected Enterprises Market Share, Trend, Segmentation and Forecast to 2022"
2022,12,Information Technology,internet,A Comprehensive Report on Data Center Outlook
2020,12,Information Technology,artificial intelligence,6 Subtle Ways AI Is Transforming the Business World
2028,8,Information Technology,quantum,Futureseek Daily Link Review; 12 June 2018
2025,9,null,null,Global Vegan Beauty Industry Set To Nearly Double By 2025
2025,9,Manufacturing,car,New mobility tech changes the route to profitable growth
2023,8,Environment,gas,Li Ka-shing's Son Makes Family's Biggest Ever Overseas Acquisition Bid
2023,16,Telecoms,consumer,Almost half of US consumers will have access to 5G by 2023
2023,16,Manufacturing,manufacturing,Is China Preparing to Dominate Its Domestic Medtech Space?
2035,12,Information Technology,connected device,Arm Acquires Stream Technologies to Help Simplify Device Management
2038,12,null,job,Liverpool Gears Up For The Future of Work
2035,64,null,null,New mobility tech changes the route to profitable growth
2035,9,Energy,power,FEATURE: The power of 3D printing for the oil and gas industry
2024,72,Financial services,biometrics,Biometrics Market: 10 Prominent Trends to Watch in 2018
2023,16,Information Technology,healthcare,"Global Healthcare Cloud Computing Market 2018 By Trend, Applicat - WFMJ.com News weather sports for Youngstown-Warren Ohio"
2023,16,null,consumption,Global Interventional Cardiology Market Growing at a CAGR of 3.0% During 2018-2025
2025,16,Energy,battery,Barron's: Batteries Hasten Winds of Change for Electricity Stocks
2026,12,Energy,battery,Will Big Bets on Autonomous and Electric Vehicles Pay Off?
2020,12,Financial services,finance,The state of electric vehicles in Australia
2020,12,null,camera,NVIDIA AI CITY CHALLENGE
2021,12,Energy,power,FEATURE: The power of 3D printing for the oil and gas industry
2021,16,Manufacturing,car,China in control as industry enters new era
2018,12,Financial services,service,Biometrics Market: 10 Prominent Trends to Watch in 2018
2018,16,Automotive,vehicle,China in control as industry enters new era
2050,8,Energy,economic growth,Paris Agreement 'G6' formed as Trump skips climate meetings
2030,16,Financial services,gas,Debunked: The G20 Clean Gas Myth
2030,12,Energy,battery,"No title could be extracted, please add manually"
2024,30,null,null,"Virtual Reality Market 2018- Global Industry Analysis, By Key Pl"
2023,60,null,null,Global Cosmeceuticals Market 2017-2023: Cosmeceuticals Market is Outpacing all Other Product Segments in Personal Care
2023,48,Financial services,investment,Broadcasters collaborate to secure future of free-to-view TV
2025,40,null,null,Global Interventional Cardiology Market Growing at a CAGR of 3.0% During 2018-2025
2025,48,Energy,biofuel,"Global Enzymes in Biofuel Market Size, Analysis, Trends, Growth, Outlook, Demand and Forecast 2018-25"
2020,16,Information Technology,job,HR tech: are we entering the era of the workplace 'co-bot'?
2021,60,Media & entertainment,advertising,A case against the General Data Protection Regulation
2022,16,Construction,construction,"Global LNG trade continues to grow, especially from Australia and the United States"
2022,60,null,null,Alibaba (BABA) Raises Funds to Boost Worldwide Presence
2018,6,null,null,"With the benefits of benefit reform diminishing, Universal Credit needs a new direction"
2019,16,null,null,Economic policy cooperation necessary to address global challenges
2050,6,Environment,water,World's supply of vegetables plummets because of climate change
2040,12,null,null,Mining Giant Makes These Big Moves On Electric Car Batteries
2030,12,Healthcare,population,Are cities ready for their increasingly aging populations?
2024,72,Information Technology,virtual reality,"Virtual Reality Market 2018- Global Industry Analysis, By Key Pl"
2023,40,null,null,"Waterborne Acrylic Coating Market Analysis 2018 (By Segment, Key - WFMJ.com News weather sports for Youngstown-Warren Ohio"
2025,80,Information Technology,economy,Three Reasons to Accelerate Manufacturing's Digital Transformation
2025,8,Energy,electricity,FEATURE: The power of 3D printing for the oil and gas industry
2020,16,Retail,retail,Living with the new normal
2020,8,Automotive,vehicle,China in control as industry enters new era
2022,16,Science,chemistry,"Roofing Chemicals Market Analysis Global Size, Share, Growth, Industry Demand and Forecast to 2022"
2021,16,Environment,coast,"Global LNG trade continues to grow, especially from Australia and the United States"
2022,16,Information Technology,cloud,Alibaba's (BABA) AI Program to Aid Its Growth in Agriculture
2018,16,null,null,Air China poised to launch new Chengdu - London route
2019,16,Retail,export,U-Ming Orders Two VLOCs from Qingdao Beihai
2033,12,Construction,city,How to make your city water-wise
2030,12,Energy,battery,Citi sees 10pc battery electric vehicle market share by 2030
2024,72,Healthcare,healthcare,"Healthcare Sector Market 2018- Asia Pacific (APAC) Industry Analysis, By Key Players, Segmentation, Trends And Forecast By 2024"
2023,12,Information Technology,data,ITWeb Africa
2025,48,Energy,solar power,Global CPV Solar Market Analysis Revealing Key Drivers & Growth Trends through 2025
2025,48,Transport,logistics,"Logistics Services Market by Latest trend, Type, Application & Growth by Top companies like DHL Supply Chain & Global Forwarding, Kuehne + Nagel, DB Schenker Logistics"
2020,12,Financial services,bank,How Open Banking Can Save Banking From Threat of Tech Giants
2020,96,null,sustainability,Report: $2 trillion funding gap ahead for upstream O&G majors
2021,12,null,wearable,5 Wearable Technology Trends to Watch in 2018
2022,16,Telecoms,5G,Moscow is Building New Civic Services on 5G
2018,60,null,null,How can telcos seize the trillion-dollar blockchain opportunity? Collaboration and unity (Reader Forum)
2018,12,null,null,Diet drink sales soar in sugar tax wake
2048,9,Transport,autonomous vehicle,Will Big Bets on Autonomous and Electric Vehicles Pay Off?
2018,16,null,economy,"Economy to grow 2.8 pct in 2018, 198,000 new jobs to be created: think tank"
2021,20,Information Technology,e-commerce,Here's Why Amazon Looks Like a Good Buy Among FAANG Stocks
2028,96,null,economy,A new age in international student mobility
2024,48,null,null,Global seaweed market passes $4 billion in new study
2030,9,Information Technology,data,3G4G Small Cells Blog
2018,12,Healthcare,disease,Heart disease stem cell therapy can shrink deadly scar tissue
2019,16,null,hr,Brand Marketing Trend Predictions 2018
2022,16,null,null,3G4G Small Cells Blog
2025,80,Construction,smart city,TREND Smart City: Welcome to the AI city
2030,9,Water,water,California's Misplaced Political Priorities Are to Blame for Water Rationing
2018,6,Information Technology,economy,"Pound-to-Dollar Rate Week Ahead: Major Resistance Encountered, Big Data Week Ahead"
2021,8,Food & agriculture,drought,Feature: Sunken village on Crete Island re-emerges as symbol of drought nightmare
2025,96,Healthcare,healthcare,"Global Artificial Intelligence in Healthcare Market Size Analysis, 2018-2028"
2023,72,null,revenue,"Global Intelligence Virtual Assistant Market Forecast 2023: By Key Players, Application, Trends, Type, Analysis, Development Status and Industry Factors"
2018,12,Financial services,capital,Bank Stocks Up on Expected Trading Revenues Rebound in Q1
2021,16,Transport,ship,Pakistan to Procure 2 More Guided-Missile Frigates From China
2025,12,Education,study,A new age in international student mobility
2023,12,null,null,"Global 3D Mapping and 3D Modelling Market 2018 Review with Forecasts - Industry Trends, Size, Share, Key Players, Growth Rate, Gross margin"
2030,72,Transport,economy,No Escaping Microsoft | Closing The Gender Gap | The Unstoppable Ant Financial
2023,48,null,null,"Global Automotive Drive Axle Market-Scenario, Size, Trend and Forecast to 2023"
2022,60,null,null,"Carbon Fiber Tape Market Share, Trend, Segmentation and Forecast to 2022"
2018,16,null,economy,China a pillar of strength in Qatar's fightback against Arab blockade
2030,12,Energy,energy,"Green-energy groups show solar panels can go on rooftops of homes, factories, even 'float' on the lake"
2025,48,Energy,oil,"Amaranth Oil Market 2018: Industry Trends, Demand, Global Analysis, Growth, Latest Research and Forecast to 2025"
2021,16,Aerospace & defence,army,Poland Wants a Permanent US Military Presence and Is Ready to Pay $2 Billion For It
2018,16,Energy,gas,China a pillar of strength in Qatar's fightback against Arab blockade
2023,16,Energy,solar power,2018 Global Concentrated Photovoltaic (CPV) Industry Ongoing Development Trend's to Drive the Worldwide Market
2025,48,Energy,oil,"Overview of the Global Essential Oils Market Covering Changing Market Trends & Emerging Opportunities for different Products like Orange, Eucalyptus, Peppermint, Citronella, Lemon, Lime, Clover Leaf"
2020,12,Energy,oil,"Overview of the Global Essential Oils Market Covering Changing Market Trends & Emerging Opportunities for different Products like Orange, Eucalyptus, Peppermint, Citronella, Lemon, Lime, Clover Leaf"
2023,48,null,null,"Global XLPE Market-Scenario, Size, Trend and Forecast to 2023"
2021,16,Aerospace & defence,war,Yemen's Never-Ending War
2018,36,null,trade,Cutting out the US dollar: Russia & China boost national currencies trade
2049,6,Environment,arctic,U.S. Still Lags Behind in Preparing for a Changing Arctic
2019,16,Transport,bicycle,'It feels like the hand of God thrusting you up the road'
2018,20,null,spending,Rethinking security
2020,12,null,null,PowerPoint Presentation
2020,24,null,income,Can the automotive industry help boost the global economy?
2020,16,Information Technology,manufacturing,Network of Digital Twins = Connectivity + Communication + Collaboration
2020,20,null,null,Hydrogen fuel cells might be the successor to internal combustion engines
2021,8,null,brexit,"'Putting off' finding border solution 'isn't enough' to resolve Brexit stand-off, Taoiseach warns Theresa May"
2021,12,Financial services,policy,Is trouble brewing in the emerging market universe?
2022,72,null,revenue,"Automotive Tubeless Tires Market Forecast, Trend Analysis & Competition Assessment By 2022"
2021,48,Financial services,investment,"No title could be extracted, please add manually"
2029,8,Energy,oil,Shortage of Oil and Natural Gas Pipelines
2028,9,Energy,gas,Study: New Natural-Gas Power Plants Could End Up as Stranded Assets
2023,12,Information Technology,artificial intelligence,"Artificial intelligence 'will be critical to firms' survival', survey suggests"
2023,48,null,null,"Regenerative Braking Systems Market Global Size, Share, Trend & Forecast 2018"
2023,16,null,economic growth,Will Africa's new ports boost trade?
2039,12,Construction,energy,Experimental nuclear fusion reactor surpasses sun's core temperature
2030,8,Environment,energy,"EU Insight, 8 June 2018, Brussels"
2035,48,null,gdp,Canada Buys Pipeline as Oil Bubble Is About to Burst
2019,16,Information Technology,television,"Next year, people will spend more time online than they will watching TV. That's a first."
2019,12,Energy,smartphone,"Global LCD and OLED Markets Technology, Directions, and Market Analysis Report 2018"
2019,12,null,null,Britain will send RAF Typhoon fighter jets to Iceland in bid to tackle Russian aggression
2050,9,Government,oil,Equinor Sees Peak Oil Demand Around 2030
2020,12,null,null,Can the automotive industry help boost the global economy?
2020,72,null,trade,Ankara in the Balkans: A Turkish Century?
2020,16,Information Technology,data,"No title could be extracted, please add manually"
2021,16,null,economy,"Australia & New Zealand Weekly: Public Demand and Exports Lift Australian Growth above Trend, But Consumer Still Patchy"
2021,12,Information Technology,insurance,"Cyber insurance premiums to dominate by 2021, says Aon"
2022,36,Information Technology,technology,"Automotive Tubeless Tires Market Forecast, Trend Analysis & Competition Assessment By 2022"
2022,72,Energy,vehicle,Porsche's 600-hp Tesla fighter will be called Taycan
2026,12,null,null,PISM Policy Paper no. 4 (164): The Bucharest 9: Delivering on the Promise to Become the Voice of the Eastern Flank
2025,48,Healthcare,healthcare,"Healthcare Supply Chain Market 2018- Global Industry Analysis, By Key Players, Segmentation, Trends And Forecast By 2025"
2025,60,null,economy,World Oceans Day: Australia's responsibility to ocean health doesn't end with the Great Barrier Reef
2023,16,null,economy,Forget the G7. A summit happening in China is what really matters
2023,12,Media & entertainment,media,Virtual Reality Fastest-Growing Media And Entertainment Category
2030,12,Energy,electricity,Study: New Natural-Gas Power Plants Could End Up as Stranded Assets
2030,16,Aerospace & defence,airline,The Days of the Airline Strike May Be Over
2030,16,Manufacturing,production,Canada Buys Pipeline as Oil Bubble Is About to Burst
2018,16,Retail,consumer,"Bitcoin trading in Venezuela is skyrocketing amid 14,000% inflation"
2019,16,null,economic growth,Starting salaries rise at fastest rate for three years
2050,16,Energy,energy,Canada Buys Pipeline as Oil Bubble Is About to Burst
2020,16,Manufacturing,car,Can the automotive industry help boost the global economy?
2020,16,Manufacturing,plastic,"Organizations, governments pledge to reduce plastic waste"
2020,12,Information Technology,internet,"Next year, people will spend more time online than they will watching TV. That's a first."
2022,48,null,null,"E-Discovery Market 2018 Global Industry - Key Players, Size, Trends, Opportunities, Growth- Analysis to 2022"
2021,112,Information Technology,artificial intelligence,Selling Smarter With Predictive Lead Scoring Algorithms
2022,12,Information Technology,app,Get Ready for an AR App Explosion
2021,30,Information Technology,artificial intelligence,3 Artificial Intelligence Trends That Could Boost Your Portfolio
2021,12,Information Technology,healthcare,"No title could be extracted, please add manually"
2025,8,Automotive,vehicle,Volvo expects a third of its cars to be autonomous by 2025
2028,16,null,gdp,Forget the G7. A summit happening in China is what really matters
2023,12,null,null,Global Bio-Banking Market 2018 Industry Trend and Forecast 2023
2024,16,null,null,Global Roofing Market Poised to Grow at a Remarkable Pace During Forecast 2016 - 2024 with Valuation of Worth US$124501.8 Mn
2039,6,Manufacturing,automation,"How many jobs will YOUR area lose to robots? Interactive map lays bare how AI could put up to 2.9m people out of work by 2030 - with retail and transport the worst hit, research finds"
2035,9,Security,security,Can the US economy grow its way out of the Social Security deficit?
2038,12,Healthcare,cancer,"T-Cell Immunotherapy Market, 2030 - Competitive Landscape Features a Mix of Established Players and Start-ups, with Academic Institutes Spearheading Early-stage Development Activities"
2019,16,Transport,uav,Drones could add £42bn to UK economy by 2030
2018,10,Energy,gas,Shortage of Oil and Natural Gas Pipelines
2050,12,null,population,Elder abuse
2020,12,Transport,uav,Building Flying Cars Is Less Complicated Than Figuring Out Traffic Control For Them
2020,16,Information Technology,energy,Is it really a good idea to dump data centres at the bottom of the sea?
2020,12,Media & entertainment,customer,"11 ideas for airlines, generated from Mary Meeker's latest report"
2021,16,null,economy,Forget the G7. A summit happening in China is what really matters
2022,16,Manufacturing,plastic,"Organizations, governments pledge to reduce plastic waste"
2021,12,null,null,"Why Target is shrinking to take on H&M, Zara and Uniqlo"
2022,60,null,null,"E-Compass Market 2018 Global Industry - Key Players, Size, Trend - WFMJ.com News weather sports for Youngstown-Warren Ohio"
2022,12,null,job,"No title could be extracted, please add manually"
2025,40,null,null,"Market Outlook - Global Cheese Powder Market Report, History and Forecast 2013-2025"
2025,72,Information Technology,software agent,How Much Money Has Poured Into AI And Customer Experience?
2023,12,Information Technology,software agent,"Artificial intelligence 'will be critical to firms' survival', survey suggests"
2023,72,Information Technology,technology,Say What?!?
2030,12,Government,oil,Electric vehicles roar up Britain's sales rankings
2030,40,null,economy,Circular Economy: Reshaping the Industrial Ecosystem
2030,8,null,child,A Decrease in Child Marriage is Good for Everyone
2030,72,null,economy,Tuberculosis
2023,16,null,gdp,IBEF Presentataion
2023,16,Retail,export,Fox: no doom and gloom as goods exports boom across UK
2023,12,null,null,10 Predictions for the Global Orthopedic Device Market
2025,96,Food & agriculture,food,Tackle the terror of unemployment with sound economic policies
2025,40,null,null,"Global Oxygen Market 2018 Industry Key Players, Trends, Sales, S - KLTV.com - Tyler, Longview, Jacksonville |ETX News"
2025,48,Environment,weather,"Weather Forecasting Systems Market 2018 Trend, Segmentation and Opportunities Forecast To 2025"
2029,80,Information Technology,internet of things,4 Technological Advancements You Need to Know to Stay Relevant
2025,8,Energy,gas,WLNG_Interviews_Vers5.indd
2021,60,Energy,energy,5 Reasons Car Companies Are Betting Big on Energy Storage
2021,20,Energy,oil,An Oil Auction Provides Brazil a Needed Boost
2022,8,Food & agriculture,meat,Russia's pork is looking for more export markets
2021,12,Healthcare,healthcare,"Healthcare Analytics Market Trends, Business Strategies and Opportunities with Key Players Analysis"
2020,16,Retail,brand,IBEF Presentataion
2020,16,Financial services,investment,Banks and Fintech
2030,12,Construction,city,"In Boston's Booming Seaport, the Namesake Is Also the Threat"
2023,12,Retail,mall,Five Ideas That Could Save Shopping Malls from Becoming Obsolete
2023,36,Healthcare,vaccination,SutroVax picks up $85 million in Series C round for pneumococcal vaccine
2025,6,Automotive,revenue,A sovereign launch capability for Australia
2025,48,Energy,oil,"Global Plant Oil Market 2018 Industry Key Players, Trends, Sales, Supply, Demand, Analysis & Forecast to 2025"
2025,60,null,null,VOIP Service Reviews
2027,9,Healthcare,implant,6 trends in the personalized orthopedic market
2025,40,null,null,"Digital Pressure Gauges: Market 2018 SWOT Analysis by Players (OMEGA, AMETEK, NOSHOK, KELLER)"
2021,16,Construction,software,"Global Building Automation Software Market Size, Demand, Overview & Forecasts to 2018-2022"
2022,24,Energy,tax,Canadians deserve a real pipeline compromise
2022,12,null,null,Austerity and fury in Jordan Jordan's King Abdullah tries to calm an angry public
2021,12,Information Technology,e-commerce,The State of Mobile Payments and Fraud
2021,12,Information Technology,artificial intelligence,Accenture Exec: Workers Need To Get Their Hands On AI Now Or Risk Falling Behind
2020,12,Financial services,bank,"The Future of Banking: Digital Apps, Big Data and Artificial Intelligence"
2020,72,null,printing,"Printing Inks Market Report - key Players, Industry Overview And Forecasts To 2020"
2030,8,Retail,consumer,IMF: Demographic trends boost Indonesia's economic growth
2023,8,Energy,solar power,How solar minigrids could brighten economic prospects for unserved millions in Africa
2023,72,Security,retail,To Catch a Credit Card Thief
2025,72,Transport,space,A sovereign launch capability for Australia
2029,12,Information Technology,nanotechnology,Nanotechnology and Non-wovens - bring new applications to textiles
2028,9,Energy,energy,New England fully integrates demand response into wholesale markets
2027,9,Information Technology,robot,Accenture Exec: Workers Need To Get Their Hands On AI Now Or Risk Falling Behind
2025,12,Construction,transport,Integration Potential 05.indd
2021,12,null,null,"Smart Meter Market Forecasts to 2025 by Industry Share, Revenue in 2018 Report"
2022,12,Manufacturing,plastic,India plans to eliminate single-use plastic by 2022
2022,16,Information Technology,data,Learn details of the latest trend on smart cities IT service market
2022,20,Pharmaceuticals,drug,Total 20 global prescription drug market share of top companies 2016 and 2022
2021,60,Energy,energy,Conference on Electrical Vehicles & Energy Storage - 7th June
2020,12,Energy,power,Megatrend PV Power Plants
2020,60,Science,therapy,"57% Sales Growth, Top-Notch Partners At Overlooked Gene and Cell Therapy Issue ORGS"
2035,16,Healthcare,hospital,"Saudi Arabia, UAE boost cooperation as multiple joint projects announced"
2023,72,Information Technology,augmented reality,"Global Augmented Reality and Mixed Reality Market 2018 Review with Forecasts - Industry Trends, Size, Share, Key Players, Growth Rate, Gross margin"
2023,12,null,null,10 Predictions for the Global Orthopedic Device Market
2028,9,Manufacturing,car,"Lukas Neckermann on LinkedIn: ""The social cost of #airpollution..."
2025,84,Science,polymer,"Super Absorbent Polymer (SAP) Market 2018 Global Analysis, Oppor - WFMJ.com News weather sports for Youngstown-Warren Ohio"
2026,72,Energy,battery,Go BATTy For This New Battery ETF
2025,36,null,millennial,"Global personal luxury goods market expected to grow by 6-8 percent to 276-281b in 2018, driven by strong rebound in China"
2026,9,Energy,solar power,"While Trump Tries to Save Coal, Some in His Party Want Solar"
2021,8,Healthcare,research,"Lawmakers, veterans ask VA for urgency in addressing burn pit exposure"
2022,30,Information Technology,artificial intelligence,Hyenas and cheetahs Artificial intelligence is awakening the chip industry's animal spirits
2022,12,Energy,research,New solar industry initiatives could open business-utility collaborations
2022,60,null,null,10 Predictions for the Global Orthopedic Device Market
2020,72,Healthcare,income,IBEF Presentataion
2020,8,Financial services,retail,"Conference Day One: Tuesday, 19th June 2018"
2020,12,null,child,"No title could be extracted, please add manually"
2026,32,Child education,Education,It is very important concern these days
